no,planting_date,run_date,planting_days,harvest_date,predicted_planting_days,harvest,alert,max_harvest,min_harvest,solar_radiation,accu_solar_radiation,temperature_max,temperature_min,rainfalls,accu_rainfalls
89,2020/02/04,2020/05/02,88,2020/06/13,130,85.81,100,103.53,30.3,27.1,1383.5,32,23.3,0,96.6
90,2020/02/04,2020/05/03,89,2020/06/13,130,86.23,100,99.2,28.84,28.3,1411.8,33.6,24.3,0,96.6
91,2020/02/04,2020/05/04,90,2020/06/13,130,85.76,100,99.25,28.95,24.6,1436.4,34.2,24.6,0,96.6
92,2020/02/04,2020/05/05,91,2020/06/13,130,83.22,100,105.74,29.04,0,1436.4,33.5,25.4,0,96.6
93,2020/02/04,2020/05/06,92,2020/06/13,130,83.18,100,99.77,29.14,0,1436.4,33.1,25.4,0,96.6
94,2020/02/04,2020/05/07,93,2020/06/13,130,83.27,100,98.46,29.19,0,1436.4,34.2,23.9,0,96.6
95,2020/02/04,2020/05/08,94,2020/06/13,130,83.44,100,97.68,29.31,0,1436.4,33.9,25.6,0,96.6
96,2020/02/04,2020/05/09,95,2020/06/13,130,81.48,100,97.29,26.05,27.4,1463.8,35.1,25.9,1.5,98.1
97,2020/02/04,2020/05/10,96,2020/06/11,128,74.05,100,118.85,29.63,0,1463.8,32.8,24.9,0,98.1
98,2020/02/04,2020/05/11,97,2020/06/12,129,79.09,100,106.44,26.76,12.6,1476.4,29.5,23.6,0,98.1
99,2020/02/04,2020/05/12,98,2020/06/13,130,80.76,100,96.57,23.99,26.1,1502.5,32.9,22.7,0,98.1
100,2020/02/04,2020/05/13,99,2020/06/12,129,77.9,100,106.59,25.75,23.7,1526.2,32.7,24.2,0,98.1
101,2020/02/04,2020/05/14,100,2020/06/12,129,77.95,100,106.6,25.87,28.3,1554.5,33,23.2,0,98.1
102,2020/02/04,2020/05/15,101,2020/06/12,129,77.5,100,106.71,25.95,0,1554.5,33.2,23,11.5,109.6
103,2020/02/04,2020/05/16,102,2020/06/12,129,77.97,100,106.59,26.29,0,1554.5,32.9,22.1,0,109.6
104,2020/02/04,2020/05/17,103,2020/06/12,129,77.99,100,106.64,26.58,8.9,1563.4,28.7,22.8,10,119.6
105,2020/02/04,2020/05/18,104,2020/06/12,129,77.96,100,107.33,25.96,0,1563.4,27.7,21.9,38,157.6
